
--- Analysis for Anchor ID: 1 @ 2025-10-02 18:24:12 ---
Compared_ID	Similarity
0	0.9510
2	0.9135
3	0.8562
4	0.8621
5	0.8420
6	0.7871
7	0.8167
8	0.8610
9	0.8314
10	0.7847
11	0.7555
12	0.7204
13	0.6715
14	0.7132
15	0.6587
16	0.6422
17	0.6348
18	0.6278
19	0.5522
20	0.5616
21	0.5442
22	0.5092
23	0.5326
24	0.5405
25	0.4835
26	0.5501
27	0.5075
28	0.5008
29	0.5108
30	0.5210
31	0.5288
32	0.4688
33	0.4740
34	0.4786
35	0.4359
36	0.4293
37	0.4065
38	0.4383
39	0.4136
40	0.3714
41	0.3949
42	0.4416
43	0.4185
44	0.4172
45	0.4095
46	0.3798
47	0.3772
48	0.3652
49	0.3921
50	0.3728
51	0.3366
52	0.3681
53	0.3463
54	0.3579
55	0.3704
56	0.3786
57	0.3654
58	0.3696
59	0.3754
60	0.3533
61	0.3738
62	0.3701
63	0.3667
64	0.3465
65	0.3788
66	0.3863
67	0.3781
68	0.4001
69	0.3609
70	0.3694
71	0.3706
72	0.3554
73	0.3594
74	0.3972
75	0.3464
76	0.3647
77	0.3598
78	0.3433
79	0.3526
80	0.3545
81	0.3735
82	0.3662
83	0.3518
84	0.3492
85	0.3689
86	0.3550
87	0.3703
88	0.3498
89	0.3664
90	0.3423
91	0.3798
92	0.3546
93	0.3479
94	0.3681
95	0.3823
96	0.3832
97	0.3526
98	0.3202
99	0.3475
100	0.3772
101	0.3548
102	0.3501
103	0.3514
104	0.3479
105	0.3441
106	0.3689
107	0.3680
108	0.3474
109	0.3648
110	0.3826
111	0.3394
112	0.3492
113	0.3626
114	0.3535
115	0.3560
116	0.3464
117	0.3460
118	0.3636
119	0.3599
120	0.3622
121	0.3365
122	0.3537
123	0.3964
124	0.3385
125	0.3619
126	0.3621
127	0.3734
128	0.3461
129	0.3758
130	0.3387
131	0.3268
132	0.3459
133	0.3598
134	0.3312
135	0.3519
136	0.3604
137	0.3499
138	0.3232
139	0.3405
140	0.3200
141	0.3384
142	0.3808
143	0.3402
144	0.3598
145	0.3368
146	0.3569
147	0.3682
148	0.3896
149	0.3657
150	0.3659
151	0.3507
152	0.3683
153	0.3563
154	0.3414
155	0.3280
156	0.3396
157	0.3659
158	0.3418
159	0.3922
160	0.3690
161	0.3193
162	0.3534
163	0.3460
164	0.3813
165	0.3766
166	0.3315
167	0.3670
168	0.4055
169	0.3838
170	0.3846
171	0.4009
172	0.3963
173	0.3909
174	0.3912
